"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @vikrantkumar: #JusticeForElephant
#KeralaElephantMurder 

(~ Rames Studio) https://t.co/mwT3nNHwF9",FALSE,0,NA,2020-06-04 12:30:22,FALSE,NA,"1268520469835243520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","madanvaishnav_3",15,TRUE,FALSE,NA,NA
"RT @iArmySupporter: It’s intolerable. Finally! Humanity is dead. how can anyone be so cruel. <U+0001F62D>

Kerala Literacy Rate: 93.91%
Humanity : 0%…",FALSE,0,NA,2020-06-04 12:30:10,FALSE,NA,"1268520418349953025",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Article19_1_A",635,TRUE,FALSE,NA,NA
"RT @shynu_mash: One day you workship us as god,
the next day you kill us with nade !
Hard to believe you humans <U+0001F494>
#Saveelephants #Conceptar…",FALSE,0,NA,2020-06-04 12:30:09,FALSE,NA,"1268520416139554817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Robber_Offcl",212,TRUE,FALSE,NA,NA
"RT @0Anand_00000: @ndtv #KeralaElephantMurder
I think instead of saying on humanity.

We should raise voice to ban those factories making t…",FALSE,0,NA,2020-06-04 12:30:08,FALSE,NA,"1268520411777560576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DangHarleen",1,TRUE,FALSE,NA,NA
"RT @Deepaksingh8788: #justiceforvinayaki
She died a horrific, painful death....
Humanity also died....
#KeralaElephantMurder 
@ZeeNews 
@Ru…",FALSE,0,NA,2020-06-04 12:30:07,FALSE,NA,"1268520406887129089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sk_Mishra_India",63,TRUE,FALSE,NA,NA
"RT @Habeebinamdar: India is the only country where death of an elephant can be Communalized.
#Islamophobes #KeralaElephantMurder",FALSE,0,NA,2020-06-04 12:30:02,FALSE,NA,"1268520384820916224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zubairghouri773",91,TRUE,FALSE,NA,NA
"RT @rajn_71: Yes I am Human' 
And I am SORRY ! @keralaelephant

#elephantkerala 
#KeralaElephantMurder https://t.co/lWfUIr3L77",FALSE,0,NA,2020-06-04 12:29:52,FALSE,NA,"1268520345473970178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nayak_ritesh",2,TRUE,FALSE,NA,NA
"RT @_2abjsesji: #KeralaElephantMurder
This is just nothing much more, and just only simply all others purposeful or selective outrage again…",FALSE,0,NA,2020-06-04 12:29:51,FALSE,NA,"1268520339455143937",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnupamBabu1",2,TRUE,FALSE,NA,NA
"RT @discoversk: #Killing the elephant in Kerala. In 2002, the mother's stomach is ripped off and her child is swung at the tip of the sword…",FALSE,0,NA,2020-06-04 12:29:48,FALSE,NA,"1268520327434457089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ishaque_jethwa",1,TRUE,FALSE,NA,NA
"#KeralaElephantMurder @PMOIndia  @narendramodi @PMOIndia did you care to ASK Pinnarayi&amp;Gandis what do they get in r… https://t.co/IA5bCSkuec",FALSE,0,NA,2020-06-04 12:29:48,TRUE,NA,"1268520327258218498",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jayaa03",0,FALSE,FALSE,NA,NA
"RT @ShahnawazBJP: Indian culture respects nature and all beings. 
It was heart wrenching to see a pregnant elephant killed by feeding it pi…",FALSE,0,NA,2020-06-04 12:29:48,FALSE,NA,"1268520325173481472",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Article19_1_A",147,TRUE,FALSE,NA,NA
"RT @mahayogiashish: Can someonetell me r these not animals ..?? #KeralaElephantMurder where https://t.co/sJuYUlpJEp",FALSE,0,NA,2020-06-04 12:29:44,FALSE,NA,"1268520310640381953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sahilgangwar09",1,TRUE,FALSE,NA,NA
"RT @MumbaiMirror: The report also confirmed that the elephant had suffered incapacitating wounds in its oral cavity following an explosive…",FALSE,0,NA,2020-06-04 12:29:42,FALSE,NA,"1268520299990937600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajanpalanii",2,TRUE,FALSE,NA,NA
"@CMOKerala don’t you dare involve f politics in such inhumane act by your state &amp; people!#KeralaElephantMurder #AllLivesMattter",FALSE,0,"CMOKerala",2020-06-04 12:29:39,FALSE,NA,"1268520287886290949","737583593245937664","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Darshieshah",0,FALSE,FALSE,NA,NA
"RT @NabiyaKhan11: While people outraged over the death of the pregnant Elephant &amp; rightly so, I can't help but wonder how no outrage is bei…",FALSE,0,NA,2020-06-04 12:29:31,FALSE,NA,"1268520256181399552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","preetigulati28",618,TRUE,FALSE,NA,NA
"RT @ipspankajnain: They not only killed the Mother and the baby ,,
They also killed the TRUST ON HUMANS  for ever 
Shameful #KeralaElephant…",FALSE,0,NA,2020-06-04 12:29:27,FALSE,NA,"1268520237407760384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Article19_1_A",1518,TRUE,FALSE,NA,NA
"RT @Stellar_Hyd: Animal should not require our permission to live on earth. Animals were given the rights to be long before we arrived #Ker…",FALSE,0,NA,2020-06-04 12:29:19,FALSE,NA,"1268520203777904656",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","__ganache__",11,TRUE,FALSE,NA,NA
"Humans have created racism in animals too.
Whom to kill(wild boar) : whom not(elephant) !
#KeralaElephantMurder",FALSE,0,NA,2020-06-04 12:29:19,FALSE,NA,"1268520203681517569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prudentlylavish",0,FALSE,FALSE,NA,NA
"Literacy level is highest but the humanity level is lowest.. 
#KeralaElephantMurder https://t.co/9mjYRz1k7g

#JusticeForVinayaki",FALSE,0,NA,2020-06-04 12:29:17,FALSE,NA,"1268520196597182464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Avinash_Hindu1",0,FALSE,FALSE,NA,NA
"RIP HUMANITY <U+0001F625>
#KeralaElephantMurder https://t.co/yeQK2VlYdW",FALSE,0,NA,2020-06-04 12:29:15,FALSE,NA,"1268520188892282881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GafurSama",0,FALSE,FALSE,NA,NA
"RT @Newguru_Kotha: @Konjarla007 @bandisanjay_bjp @kishanreddybjp @TelanganaDGP @AmitShah He should be punished. No Mercy on him

#<U+0939><U+093F><U+0928><U+094D><U+0926><U+0942>_<U+0938><U+093E>…",FALSE,0,NA,2020-06-04 12:29:14,FALSE,NA,"1268520185352183814",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuryaDattaReddy",10,TRUE,FALSE,NA,NA
"RT @_2abjsesji: #KeralaElephantMurder
#Istandwithmalappuram 
#StopSpreadingHateAgainstKerala 

Stop this clear case of selective communal h…",FALSE,0,NA,2020-06-04 12:29:14,FALSE,NA,"1268520184169422851",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnupamBabu1",7,TRUE,FALSE,NA,NA
"Humanity has failed. You don’t deserve this world. On be half of kind soul human, I bow to you pay the respect with… https://t.co/FqLzrqBoVL",FALSE,0,NA,2020-06-04 12:29:13,TRUE,NA,"1268520181942362114",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","angel_keerthi95",0,FALSE,FALSE,NA,NA
